Date,Stock Open (CAD),Stock Close (CAD),Mutual Fund Price
2014-10-07,22.097,21.946,8.24
2014-10-08,21.948,22.401,8.29
2014-10-09,22.566,22.450,8.27
2014-10-10,22.377,22.386,8.21
2014-10-13,22.519,22.181,8.28
2014-10-14,22.310,21.946,8.27
2014-10-15,21.772,21.677,8.21
2014-10-16,21.234,21.392,8.16
2014-10-17,21.668,21.706,8.22
2014-10-20,21.850,22.170,8.22
2014-10-21,22.895,22.772,8.28
2014-10-22,22.855,22.888,8.28
2014-10-23,23.130,23.297,8.2
2014-10-24,23.375,23.383,8.19
2014-10-27,23.301,23.359,8.27
2014-10-28,23.423,23.721,8.11
2014-10-29,23.701,23.855,8.22
2014-10-30,23.770,23.775,8.2
2014-10-31,24.003,24.001,8.19
2014-11-03,24.050,24.312,8.04
2014-11-04,24.303,24.135,8.04
2014-11-05,24.246,24.192,8.15
2014-11-06,24.239,24.262,8.1
2014-11-07,24.273,24.331,7.97
2014-11-10,24.333,24.291,8.1
2014-11-11,24.262,24.485,7.95
2014-11-12,24.413,24.831,7.82
2014-11-13,24.953,25.181,7.68
2014-11-14,25.255,25.485,7.68
2014-11-17,25.505,25.442,7.62
2014-11-18,25.431,25.773,7.64
2014-11-19,25.766,25.594,7.74
2014-11-20,25.648,25.960,7.83
2014-11-21,26.228,25.996,8.01
2014-11-24,26.081,26.478,7.93
2014-11-25,26.576,26.248,8.06
2014-11-26,26.324,26.560,8.11
2014-11-28,26.621,26.545,8.1
2014-12-01,26.518,25.683,8.2
2014-12-02,25.333,25.585,8.14
2014-12-03,25.835,25.875,8.21
2014-12-04,25.840,25.777,8.31
2014-12-05,25.889,25.668,8.3
2014-12-08,25.467,25.087,8.28
2014-12-09,24.594,25.471,8.27
2014-12-10,25.536,24.987,8.31
2014-12-11,25.056,24.913,8.3
2014-12-12,24.654,24.491,8.33
2014-12-15,24.708,24.157,8.35
2014-12-16,23.742,23.826,8.36
2014-12-17,23.909,24.420,8.36
2014-12-18,24.969,25.143,8.38
2014-12-19,25.056,24.949,8.35
2014-12-22,25.034,25.208,8.41
2014-12-23,25.273,25.119,8.38
2014-12-24,25.128,25.000,8.38
2014-12-26,25.020,25.442,8.43
2014-12-29,25.398,25.424,8.49
2014-12-30,25.364,25.114,8.49
2014-12-31,25.181,24.637,8.49
2015-01-02,24.862,24.402,8.47
2015-01-05,24.170,23.715,8.34
2015-01-06,23.779,23.717,8.38
2015-01-07,23.927,24.050,8.41
2015-01-08,24.380,24.974,8.4
2015-01-09,25.148,25.000,8.42
2015-01-12,25.132,24.384,8.32
2015-01-13,24.871,24.601,8.35
2015-01-14,24.337,24.507,8.2
2015-01-15,24.552,23.842,8.11
2015-01-16,23.889,23.657,7.99
2015-01-20,24.070,24.266,7.94
2015-01-21,24.317,24.451,7.82
2015-01-22,24.610,25.087,7.98
2015-01-23,25.065,25.217,8.18
2015-01-26,25.386,25.244,8.24
2015-01-27,25.092,24.360,8.22
2015-01-28,26.255,25.737,8.21
2015-01-29,25.962,26.538,8.21
2015-01-30,26.427,26.150,8.27
2015-02-02,26.348,26.478,8.29
2015-02-03,26.449,26.482,8.24
2015-02-04,26.449,26.685,8.17
2015-02-05,26.894,26.876,8.16
2015-02-06,26.894,26.650,8
2015-02-09,26.564,26.827,7.9
2015-02-10,26.927,27.342,7.98
2015-02-11,27.510,27.983,8.14
2015-02-12,28.247,28.337,8.06
2015-02-13,28.521,28.476,7.97
2015-02-17,28.568,28.644,7.96
2015-02-18,28.599,28.843,7.91
2015-02-19,28.790,28.783,7.8
2015-02-20,28.821,29.018,7.92
2015-02-23,29.135,29.802,7.97
2015-02-24,29.789,29.616,8.03
2015-02-25,29.480,28.859,8.18
2015-02-26,28.859,29.224,8.21
2015-02-27,29.130,28.785,8.24
2015-03-02,28.962,28.926,8.12
2015-03-03,28.897,28.987,8.02
2015-03-04,28.929,28.803,8.08
2015-03-05,28.812,28.326,8.05
2015-03-06,28.772,28.368,8.13
2015-03-09,28.673,28.489,8.23
2015-03-10,28.326,27.900,8.19
2015-03-11,27.954,27.391,8.28
2015-03-12,27.407,27.887,8.25
2015-03-13,27.875,27.694,8.22
2015-03-16,27.759,27.999,8.31
2015-03-17,28.211,28.467,8.34
2015-03-18,28.458,28.787,8.42
2015-03-19,28.850,28.570,8.49
2015-03-20,28.738,28.211,8.49
2015-03-23,28.485,28.505,8.51
2015-03-24,28.509,28.388,8.52
2015-03-25,28.355,27.647,8.59
2015-03-26,27.508,27.839,8.59
2015-03-27,27.913,27.618,8.61
2015-03-30,27.797,28.317,8.63
2015-03-31,28.254,27.882,8.66
2015-04-01,27.969,27.842,8.62
2015-04-02,28.017,28.081,8.7
2015-04-06,27.891,28.536,8.68
2015-04-07,28.601,28.236,8.65
2015-04-08,28.200,28.144,8.68
2015-04-09,28.200,28.359,8.56
2015-04-10,28.223,28.480,8.58
2015-04-13,28.765,28.424,8.41
2015-04-14,28.458,28.301,8.39
2015-04-15,28.326,28.409,8.5
2015-04-16,28.297,28.272,8.44
2015-04-17,28.133,27.954,8.55
2015-04-20,28.138,28.592,8.54
2015-04-21,28.704,28.438,8.62
2015-04-22,28.456,28.821,8.64
2015-04-23,28.749,29.056,8.68
2015-04-24,29.240,29.193,8.63
2015-04-27,29.648,29.724,8.62
2015-04-28,30.130,29.256,8.48
2015-04-29,29.166,28.825,8.45
2015-04-30,28.825,28.043,8.48
2015-05-01,28.256,28.895,8.6
2015-05-04,29.018,28.839,8.51
2015-05-05,28.716,28.189,8.47
2015-05-06,28.359,28.012,8.51
2015-05-07,28.075,28.185,8.56
2015-05-08,28.505,28.716,8.56
2015-05-11,28.665,28.424,8.62
2015-05-12,28.262,28.323,8.67
2015-05-13,28.386,28.354,8.71
2015-05-14,28.669,29.016,8.67
2015-05-15,29.043,28.975,8.67
2015-05-18,28.887,29.295,8.71
2015-05-19,29.407,29.268,8.7
2015-05-20,29.252,29.265,8.56
2015-05-21,29.268,29.565,8.65
2015-05-22,29.612,29.823,8.69
2015-05-26,29.837,29.166,8.75
2015-05-27,29.328,29.711,8.78
2015-05-28,29.670,29.652,8.83
2015-05-29,29.529,29.315,8.78
2015-06-01,29.315,29.373,8.74
2015-06-02,29.220,29.243,8.72
2015-06-03,29.400,29.279,8.6
2015-06-04,29.157,29.108,8.67
2015-06-05,29.139,28.948,8.67
2015-06-08,29.004,28.757,8.55
2015-06-09,28.509,28.671,8.51
2015-06-10,28.784,29.000,8.59
2015-06-11,29.067,28.935,8.69
2015-06-12,28.845,28.615,8.64
2015-06-15,28.374,28.559,8.62
2015-06-16,28.584,28.712,8.6
2015-06-17,28.739,28.644,8.69
